match_id,date,season,team,opponent,h_a,formation,own_goals,yellow_card,red_card,key_passes,assists,xA,xGChain,xGBuildup,S,GF,xGF,npxGF,opponent_formation,opponent_own_goals,opponent_yellow_card,opponent_red_card,opponent_key_passes,opponent_assists,xA_against,xGChain_against,xGBuildup_against,SA,GA,xGA,npxGA,ppda,ppda_allowed,xPts
30815,2026-09-12,2026,Racing Santander,Alaves,h,4-2-3-1,0,2,1,10,1,0.7906901333481071,4.5468010157346725,2.5738505497574806,11.0,2.0,1.3838939052075145,1.3838939052075148,3-5-2,0,3,0,7,0,0.7106142789125439,3.584875803440809,1.8741392791271205,16.0,1.0,2.655855662189423,2.655855662189424,5.733333333333333,9.464285714285714,0.7174523023431963
30826,2026-09-16,2026,Racing Santander,Barcelona,a,4-4-2,1,2,0,3,1,0.6114454232156276,4.401327759027481,3.0601513981819153,6.0,2.0,1.3840206228196619,1.384020622819662,4-3-3,0,3,0,25,4,5.14836248755455,12.986348897218704,6.1362527795135975,30.0,6.0,7.475276342593132,5.245443514548242,28.0,8.041666666666666,0.03877887209020163
30832,2026-09-19,2026,Racing Santander,Celta Vigo,a,4-5-1,0,5,0,7,0,0.1911246571689842,1.1979400347918268,0.703144239261746,11.0,0.0,0.7199008846655484,0.7199008846655488,3-4-3,0,2,0,10,3,1.4591777957975862,6.617948750033975,4.579334082081914,13.0,5.0,2.2294986415654416,1.486221032217145,14.722222222222221,10.53125,0.4930116068150139
