match_id,date,season,team,opponent,player_id,player,position,h_a,time,own_goals,yellow_card,red_card,key_passes,assists,xA,xGChain,xGBuildup,S,GF,xGF,npxGF
31180,2026-08-21,2026,Coventry,Arsenal,14742,Milan van Ewijk,DR,a,90,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31180,2026-08-21,2026,Coventry,Arsenal,7814,Taiwo Awoniyi,Sub,a,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31180,2026-08-21,2026,Coventry,Arsenal,14746,Victor Torp,Sub,a,26,0,0,0,1,0,0.5053454041481018,0.5053454041481018,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,7298,Ben White,DR,a,90,0,0,0,1,0,0.0350794270634651,0.972878098487854,0.9377986788749696,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,8327,Bruno Guimarães,Sub,a,18,0,0,0,0,0,0.0,0.0350794270634651,0.0350794270634651,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,7322,Bukayo Saka,AMR,a,90,0,0,0,0,0,0.0,1.010360836982727,0.0725621879100799,2.0,1.0,0.9752814397215844,0.9752814397215843
31199,2026-08-31,2026,Arsenal,Aston Villa,9746,Christos Tzolis,AML,a,47,0,1,0,1,0,0.0472012013196945,0.0472012013196945,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,10024,Cristhian Mosquera,DC,a,80,0,0,0,0,0,0.0,0.9377986788749696,0.9377986788749696,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,9676,David Raya,GK,a,90,0,0,0,0,0,0.0,0.0374827608466148,0.0374827608466148,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,5553,Declan Rice,DMC,a,86,0,0,0,2,0,0.0861850380897522,0.9752814173698424,0.9377986788749696,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,8706,Eberechi Eze,Sub,a,43,0,0,0,0,0,0.0,0.9377986788749696,0.9377986788749696,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,7726,Ezri Konsa Ngoyo,Sub,a,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,5613,Gabriel,DC,a,90,0,0,0,0,0,0.0,0.9752814173698424,0.9752814173698424,1.0,0.0,0.327258437871933,0.327258437871933
31199,2026-08-31,2026,Arsenal,Aston Villa,5220,Kai Havertz,FW,a,90,0,0,0,0,0,0.0,0.972878098487854,0.9377986788749696,1.0,0.0,0.0350794270634651,0.03507942706346512
31199,2026-08-31,2026,Arsenal,Aston Villa,2517,Martin Odegaard,AMC,a,72,0,0,0,0,0,0.0,0.0374827608466148,0.0374827608466148,1.0,0.0,0.0908846855163574,0.09088468551635742
31199,2026-08-31,2026,Arsenal,Aston Villa,7526,Martín Zubimendi,Sub,a,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,5304,Mikel Merino,Sub,a,18,0,0,0,0,0,0.0,0.0350794270634651,0.0350794270634651,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Arsenal,Aston Villa,12272,Myles Lewis-Skelly,DMC,a,72,0,0,0,0,0,0.0,1.0224826335906982,0.9752814173698424,1.0,0.0,0.0472012013196945,0.04720120131969452
31199,2026-08-31,2026,Arsenal,Aston Villa,8129,Riccardo Calafiori,DL,a,90,0,0,0,1,1,0.9377986788749696,0.9377986788749696,0.0,1.0,0.0,0.0487022772431373,0.04870227724313736
31199,2026-08-31,2026,Aston Villa,Arsenal,5584,Aaron Wan-Bissaka,Sub,h,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Aston Villa,Arsenal,10552,Alejandro Garnacho,Sub,h,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Aston Villa,Arsenal,14446,Alysson Edward,Sub,h,18,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Aston Villa,Arsenal,5789,Boubacar Kamara,DMC,h,90,0,0,0,1,0,0.0273728407919406,0.1096964478492736,0.1096964478492736,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Aston Villa,Arsenal,2203,Emiliano Buendía,AMC,h,90,0,0,0,1,0,0.0207442939281463,0.13044074177742,0.0823236033320427,1.0,0.0,0.0273728407919406,0.02737284079194069
31199,2026-08-31,2026,Aston Villa,Arsenal,14193,George Hemmings,AML,h,72,0,0,0,0,0,0.0,0.0610233731567859,0.0610233731567859,0.0,0.0,0.0,0.0
31199,2026-08-31,2026,Aston Villa,Arsenal,11807,Ian Maatsen,DL,h,90,0,1,0,0,0,0.0,0.1096964478492736,0.0676519200205802,2.0,0.0,0.08232360705733291,0.08232360705733299
31199,2026-08-31,2026,Aston Villa,Arsenal,7723,John McGinn,AMR,h,90,0,1,0,1,0,0.0784304365515708,0.178212434053421,0.0420445278286933,2.0,0.0,0.057737477123737196,0.057737477123737335
31199,2026-08-31,2026,Aston Villa,Arsenal,8864,Matthew Cash,DR,h,79,0,0,0,0,0,0.0,0.1204749643802642,0.0420445278286933,1.0,0.0,0.0784304365515708,0.07843043655157089
